"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"V1ra8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V1rd19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vac14",101,0,124,2,439,182,80,0,0,48,292,4,1,340,10,85,0,1,264,575,1,1,172,572,0,78,0,0,0,0,40,0,37,2,0,322,0,114
"Vamp1",132,2,651,10,3,132,1,131,419,914,1536,52,515,502,433,545,7,222,7690,1627,177,1144,383,144,56,101,2,491,34,103,69,5,61,270,17,131,255,370
"Vamp2",3737,414,5370,1017,15,689,1846,541,5055,4167,12947,4788,3666,5500,1738,3337,1493,1158,9685,13624,549,4239,7082,6276,759,10185,437,4173,4653,5420,2082,6130,1089,1680,1342,7119,684,6291
"Vamp3",1,17,296,17,0,13,257,513,0,0,58,211,139,29,209,290,3,0,44,752,0,438,518,0,3,3,0,0,114,1,0,365,238,106,264,1334,0,19
"Vamp4",888,69,396,104,6,935,136,1076,390,199,1937,608,514,1109,280,464,573,36,1409,1295,64,682,1585,796,53,945,43,2605,858,2833,386,636,191,960,5,2602,62,1045
"Vamp5",0,0,187,0,9,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Vamp7",400,49,333,20,1724,0,129,10,282,46,825,23,276,382,244,455,19,233,1246,803,33,103,352,1870,157,649,10,945,1042,632,383,4,28,104,371,655,15,496
"Vamp8",158,0,87,0,0,0,0,188,386,103,614,352,30,95,0,73,217,57,182,132,0,104,0,476,119,0,0,0,0,369,0,0,25,0,0,1,6,0
"Vamp9",1,0,0,27,0,0,0,0,0,89,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
