,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC118568565,160.619432070585,3.84967432555341,1.09178424884193,3.52603944381576,0.000421824138883948,0.000421824138883948
Maz,163.136687372587,2.3678528841196,0.672230194182563,3.52238400567371,0.000427684153541444,0.000427684153541444
Apool,10.2104156538395,6.40463424730485,1.81896253945702,3.52103691438127,0.000429862770332984,0.000429862770332984
Zfp575,11.1354109433366,4.23098076071697,1.20189005726214,3.52027270310813,0.000431103311947217,0.000431103311947217
Slirp,245.715823631743,-1.41479228165479,0.402465253888366,-3.51531534209714,0.000439232099062166,0.000439232099062166
Dnase1,14.7718769355464,5.62145936745338,1.59940823572556,3.51471203029242,0.000440231081944461,0.000440231081944461
Chadl,17.4101759053617,4.45722031654553,1.26823300780039,3.51451215126161,0.000440562515451857,0.000440562515451857
Gm38782,5.50474947741193,5.50974295615756,1.56827846509081,3.51324275554503,0.000442672832683526,0.000442672832683526
Zscan25,4.5895579863102,4.51247322215898,1.28466305258276,3.51257336551156,0.000443789461586252,0.000443789461586252
Tlcd1,2.65304668942069,-5.25977595096177,1.49773280670747,-3.51182529180525,0.000445040455492684,0.000445040455492684
Gm52603,593.040690018666,1.47144331115821,0.419771921915613,3.50534000569484,0.000456024498465789,0.000456024498465789
LOC115490354,10.4951969941094,6.44281645729565,1.8393450039413,3.50277758848403,0.000460433745882789,0.000460433745882789
Gm31407,5.52074204664016,5.29395641293773,1.51235982231186,3.50046089220035,0.000464454381274055,0.000464454381274055
Prcc,50.2676187387441,2.49794403910224,0.713785069145749,3.49957451770707,0.000466001333343326,0.000466001333343326
Rabggta,186.602618032011,3.24438931801456,0.927200278373845,3.49912461599416,0.000466788365784457,0.000466788365784457
Ada,5.68790586469481,5.56339427339832,1.59014852165339,3.49866329945939,0.000467596654241487,0.000467596654241487
Pom121,153.820056049095,2.33867376642518,0.668658453872025,3.49756105360297,0.000469533227174254,0.000469533227174254
Ltn1,250.026247402575,1.88041365615133,0.53788323980932,3.49595138308815,0.000472374757124631,0.000472374757124631
Gm50590,8.88375665013629,5.98735832152437,1.71287051823386,3.49551134063416,0.000473154345727502,0.000473154345727502
Slx4,158.266919621537,3.2889948291312,0.940944023748084,3.49542028656505,0.000473315808854259,0.000473315808854259
Fut10,10.4146583926884,6.00113371715331,1.7173295848327,3.4944566087691,0.000475027819861206,0.000475027819861206
Vps37c,81.1619777024275,3.4478434634854,0.986818502571009,3.49389827460932,0.000476022363234709,0.000476022363234709
A930004D18Rik,8.41926305073885,-6.48149339090707,1.85622816630453,-3.49175468219014,0.000479858749277128,0.000479858749277128
Gm6999,29.0908509857824,4.74151443177189,1.35815330601452,3.49114817213515,0.000480949442623615,0.000480949442623615
Trank1,1567.72406941649,1.71620431566557,0.491618715139372,3.49092551364533,0.000481350431622243,0.000481350431622243
Npat,150.896623891549,2.55821226198376,0.733029309314475,3.48991811033611,0.000483168579304181,0.000483168579304181
Wsb1,618.883137232075,2.45802379885768,0.704365475314836,3.48969943161822,0.00048356409280815,0.00048356409280815
Gpx4,322.952463444542,-1.16024849992309,0.332484641333712,-3.48963036388366,0.0004836890749751,0.0004836890749751
6530409C15Rik,11.0727236455561,4.97817168344816,1.42684076316141,3.48894691823787,0.000484927435545477,0.000484927435545477
Crispld1,13.9193480842917,-5.26462293755865,1.50925717582546,-3.488221240147,0.000486245554873445,0.000486245554873445
Fgf18,14.0062178337307,-5.89419950415684,1.69090675155607,-3.48582173365424,0.000490627839824175,0.000490627839824175
Slc1a2,2826.65862375037,-1.53074742019067,0.439591747989616,-3.48220235523355,0.000497307735347098,0.000497307735347098
Zfp708,30.2585255251134,6.69112341253141,1.92214503609906,3.4810710361955,0.000499413022181554,0.000499413022181554
Ap3s2,204.545601969205,2.30252000854539,0.661605423962001,3.48020122742772,0.000501037308347939,0.000501037308347939
LOC118567851,13.7876259901128,5.67608528488086,1.6318303787173,3.4783549558273,0.000504501383683496,0.000504501383683496
Speer4b,37.1076069831203,3.96569183925804,1.14044826594891,3.47730971905015,0.000506472399373366,0.000506472399373366
Npas4,55.0883723891257,4.88149904440441,1.40430985447163,3.47608402010471,0.000508792859062491,0.000508792859062491
Adcy6,77.581322680992,3.3848564825252,0.973824773789839,3.47583731039449,0.000509261119702705,0.000509261119702705
Ndufa6,470.21184075782,-1.16697851589474,0.335842414463344,-3.47478003265163,0.00051127241049009,0.00051127241049009
Gm46832,1.57821341546195,-4.34499199569226,1.25273141484978,-3.46841465312281,0.000523538792946199,0.000523538792946199
Ufl1,153.261237037121,2.52113122411862,0.726976086977466,3.46796995015432,0.00052440592534081,0.00052440592534081
Mkks,241.905069433646,-1.94368486423669,0.560546576635694,-3.46748146407808,0.000525359973559655,0.000525359973559655
Pcp4,4389.70770763704,-1.073775278077,0.309977821116923,-3.46403905352951,0.000532129250274644,0.000532129250274644
Gabra1,1112.01316528875,-1.22737669812253,0.35448226811388,-3.46244878383657,0.000535283780179096,0.000535283780179096
Acad9,211.48858556943,2.51307752677274,0.726071091893471,3.46120036292735,0.000537772402895001,0.000537772402895001
Ubr4,1166.38922986804,1.51770756155123,0.439187769670365,3.45571454025315,0.000548836227781496,0.000548836227781496
Tbc1d23,72.2800965633337,3.28139461409171,0.949778074013943,3.45490668175136,0.000550483317884754,0.000550483317884754
Efcc1,53.0791322069407,4.10417637595143,1.18796011895592,3.45480989678217,0.000550680955027385,0.000550680955027385
Gm41610,1.16816557893858,-3.75769395281617,1.088049492932,-3.4536057203521,0.000553145444479371,0.000553145444479371
Zfp59,9.60139403208994,5.65235168559759,1.63721892236332,3.45241043112209,0.000555601902247594,0.000555601902247594
Lonrf3,178.243321777707,2.44762449710825,0.709392714008992,3.4503096081661,0.000559943976152003,0.000559943976152003
Edrf1,174.836746527416,2.83596162138204,0.822018239290517,3.44999841345339,0.000560589848204705,0.000560589848204705
Nxph3,4.22628930157653,-4.34083457367659,1.25837591735502,-3.44955312145563,0.000561515240578322,0.000561515240578322
Gm5577,15.2057918908026,5.67001350480868,1.64517489001034,3.44645030703882,0.000568003017672286,0.000568003017672286
Zc3h12c,174.321209161118,2.93870335019378,0.852728510083571,3.44623560188667,0.000568454524172154,0.000568454524172154
Rars2,96.9967478009948,3.02591210715711,0.878055842416868,3.44614996106423,0.000568634712695233,0.000568634712695233
2900052L18Rik,5.72424819896363,5.57199449436453,1.61739280284097,3.44504716762511,0.000570959750257723,0.000570959750257723
Epas1,82.3036042559514,-3.9955441927195,1.1606144103872,-3.44261122122939,0.000576126904993344,0.000576126904993344
LOC115490137,169.305816955612,3.52383967726537,1.02367610950659,3.44233849411984,0.000576708119030622,0.000576708119030622
Csgalnact2,59.7216731706589,4.03090077435338,1.1712234656302,3.44161544969087,0.000578251656464407,0.000578251656464407
Gm39948,12.6789337962918,6.71109072960656,1.95083929887101,3.44010433534448,0.000581489973994479,0.000581489973994479
Gab1,30.3190039807011,-4.09181994648346,1.18976001955494,-3.43919771990163,0.00058344094615959,0.00058344094615959
